file,total_nodes,leaf_nodes,internal_nodes,max_depth,average_branching_factor,max_branching_factor,min_branching_factor,first_branching_factor,depth_per_nodes,internal_per_depth,state,log_length,log_word_count,avg_sent_len,sent_len_cv,hesitation_rate,correction_rate,confidence_rate,conf_hesit_ratio,backtrack_rate,forward_rate,fw_bt_ratio,question_rate,code_density,early_hesit,mid_hesit,late_hesit,hesit_trend,early_correct,late_correct,correct_trend,analysis_rate,exec_rate,plan_rate,verify_rate,strategy_entropy,lex_diversity,conclusion_strength,first_person_rate,paragraph_rate,success_words,failure_words,success_fail_ratio,total_segments,avg_segment_len,max_segment_len,min_segment_len,std_dev_len,code_analysis,mental_execution,test_generation,bug_fixing,language_mapping,high_level_plan,empty
./segment_trees/qwq_level3_output/qid_sample_340_sample_665_sample_655.json,105,8,97,97,1.07,2,1,1,0.9238095238095239,1.0,correct,9.669156655581341,8.016647877057803,14.5,0.7900992577510069,15.181518151815181,3.6303630363036303,0.9900990099009901,0.0851063829787234,16.17161716171617,1.9801980198019802,0.14,0.03333333333333333,0.0,18.849206349206348,13.72549019607843,12.948207171314742,-5.900999177891606,5.952380952380952,2.9880478087649402,-2.9643331436160114,0.0761904761904762,0.009523809523809525,0.02857142857142857,0.03333333333333333,1.1668963518892934,0.06006600660066007,0,0.825082508250825,4.818481848184819,0.9900990099009901,1.3201320132013201,0.8,104,150.56730769230768,445.0,31.0,113.065559161087,37,54,1,1,0,10,1
./segment_trees/qwq_level3_output/qid_sample_148_sample_439_sample_92.json,91,9,82,79,1.1,2,1,1,0.8681318681318682,1.0379746835443038,correct,9.432443382115146,7.670428522190693,8.85140562248996,0.8799452774792677,10.732617825478302,1.3999066728884741,1.3999066728884741,0.16666666666666666,10.732617825478302,2.7998133457769483,0.2916666666666667,0.020080321285140562,0.0,6.963788300835654,13.679890560875513,11.494252873563218,4.530464572727563,0.0,1.4367816091954022,1.4367816091954022,0.06827309236947791,0.008032128514056224,0.01606425702811245,0.008032128514056224,0.9559463322974004,0.08772748483434438,1,0.2799813345776948,8.959402706486234,1.3999066728884741,1.3999066728884741,1.0,90,136.9,914.0,30.0,136.58063840280164,22,54,1,1,0,8,4
./segment_trees/qwq_level3_output/qid_sample_305_sample_445_sample_347.json,678,153,525,284,1.29,4,1,1,0.41887905604719766,1.8485915492957747,incorrect,11.107030264385553,9.381010986029276,13.870327102803738,0.6528444614427716,47.89207419898819,2.2765598650927488,0.5902192242833053,0.014059753954305799,8.010118043844857,0.6745362563237775,0.09375,0.035046728971962614,0.0,20.654444186586215,39.90147783251231,90.77892325315005,70.12447906656384,4.177303318635414,0.0,-4.177303318635414,0.04322429906542056,0.0011682242990654205,0.014018691588785047,0.002336448598130841,0.7812799486080262,0.022175379426644184,6,0.42158516020236086,7.54637436762226,0.6745362563237775,0.42158516020236086,1.5,677,96.59527326440177,975.0,30.0,96.85847285915243,44,591,3,6,0,22,11
./segment_trees/qwq_level3_output/qid_sample_236_sample_206_sample_357.json,62,7,55,55,1.11,3,1,1,0.8870967741935484,1.0,correct,9.238441802087058,7.541683099882111,11.50909090909091,0.6870663793420975,19.108280254777068,4.246284501061571,2.1231422505307855,0.13513513513513514,20.169851380042463,1.5923566878980893,0.10256410256410256,0.048484848484848485,0.0,13.093289689034371,31.948881789137378,12.364760432766614,-0.7285292562677572,6.546644844517186,0.0,-6.546644844517186,0.12727272727272726,0.0,0.06060606060606061,0.012121212121212121,0.8172193555634042,0.09341825902335456,2,1.9639065817409767,5.042462845010616,3.1847133757961785,1.5923566878980893,1.75,61,166.78688524590163,569.0,37.0,133.40541152868056,18,37,0,1,0,5,0
./segment_trees/qwq_level3_output/qid_sample_452_sample_51_sample_785.json,24,2,22,21,1.05,2,1,1,0.875,1.0476190476190477,correct,8.132412674500905,6.440946540632921,11.50909090909091,0.6829250683618975,15.974440894568689,4.792332268370607,1.5974440894568689,0.18181818181818182,17.57188498402556,7.987220447284344,0.5,0.07272727272727272,0.1597444089456869,10.0,18.01801801801802,19.51219512195122,9.512195121951219,0.0,4.878048780487805,4.878048780487805,0.18181818181818182,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.8917527075633555,0.19808306709265175,1,0.1597444089456869,2.3961661341853038,6.3897763578274756,1.5974440894568689,2.5,23,146.7826086956522,498.0,32.0,118.50122995976153,8,10,1,0,0,4,0
./segment_trees/qwq_level3_output/qid_sample_260_sample_539_sample_363.json,525,52,473,464,1.11,3,1,1,0.8838095238095238,1.019396551724138,incorrect,11.32753520451781,9.584314812992977,12.247913188647747,0.5462540142233959,39.631209577542315,3.096188248245493,6.398789046374019,0.16291161178509533,16.444199807348284,3.3714049814228706,0.20833333333333334,0.011686143572621035,0.0,32.67306514192363,43.00186065743229,43.32430743595084,10.651242294027213,2.6546865427812945,3.749218912726515,1.0945323699452207,0.44908180300500833,0.00333889816360601,0.0025041736227045075,0.004173622704507512,0.12663225042482407,0.018921150405944682,7,1.4448878491812303,3.2819595431402226,6.398789046374019,16.37539562405394,0.39330543933054396,524,156.94274809160305,789.0,30.0,103.44102875138488,184,109,0,162,0,49,20
./segment_trees/qwq_level3_output/qid_sample_44_sample_78_sample_424.json,554,111,443,320,1.25,3,1,3,0.5776173285198556,1.384375,incorrect,11.405206615071435,9.637501738166108,11.69423929098966,0.9280608553296288,34.96868475991649,0.7176409185803758,0.0,0.00186219739292365,35.0339248434238,0.2609603340292275,0.00929368029739777,0.007385524372230428,0.0,32.31390652048471,36.32773938795657,36.32773938795657,4.013832867471862,2.1157914983650703,0.0,-2.1157914983650703,0.012555391432791729,0.0,0.0022156573116691287,0.0,0.45526359654726156,0.0094598121085595,0,0.03914405010438413,5.662839248434238,0.0,0.06524008350730688,0.5,553,160.38155515370704,616.0,36.0,55.684386420749725,216,332,0,1,0,4,0
./segment_trees/qwq_level3_output/qid_sample_206_sample_769_sample_541.json,64,10,54,51,1.17,2,1,1,0.796875,1.0588235294117647,correct,9.01627006814768,7.393263094763838,11.601398601398602,0.6821587546945282,8.004926108374384,1.8472906403940885,1.8472906403940885,0.2857142857142857,9.236453201970445,4.310344827586206,0.5,0.027972027972027972,0.18472906403940886,9.505703422053232,7.168458781362007,7.380073800738007,-2.125629621315225,3.802281368821293,0.0,-3.802281368821293,0.06993006993006994,0.0,0.02097902097902098,0.027972027972027972,0.9560073862014336,0.11330049261083744,1,0.12315270935960591,2.0320197044334978,1.2315270935960592,0.6157635467980296,1.5,63,129.38095238095238,582.0,33.0,118.22182929416624,17,38,1,3,0,4,0
./segment_trees/qwq_level3_output/qid_sample_549_sample_656_sample_162.json,59,10,49,33,1.18,3,1,1,0.559322033898305,1.4848484848484849,correct,8.925188429378027,7.1592919047975645,11.163793103448276,0.6149913800366773,10.894941634241244,0.7782101167315175,1.556420233463035,0.2,8.560311284046694,10.894941634241244,1.25,0.02586206896551724,0.07782101167315175,7.371007371007371,18.223234624145785,6.802721088435374,-0.5682862825719974,0.0,2.2675736961451247,2.2675736961451247,0.14655172413793102,0.02586206896551724,0.02586206896551724,0.0,0.7530117560225367,0.13540856031128404,2,0.5447470817120622,4.202334630350195,2.3346303501945527,2.3346303501945527,1.0,58,127.20689655172414,488.0,31.0,105.43523140667251,24,30,0,0,0,4,0
./segment_trees/qwq_level3_output/qid_sample_204_sample_714_sample_391.json,49,6,43,41,1.12,2,1,1,0.8367346938775511,1.048780487804878,correct,8.692490133273228,6.945051063725834,8.560975609756097,0.7082776175473372,20.25072324011572,1.9286403085824495,2.8929604628736745,0.18181818181818182,15.429122468659596,4.821600771456123,0.35294117647058826,0.032520325203252036,0.0,25.280898876404493,18.29268292682927,16.949152542372882,-8.33174633403161,2.8089887640449436,0.0,-2.8089887640449436,0.07317073170731707,0.0,0.024390243902439025,0.04065040650406504,0.9996999118728492,0.1253616200578592,0,0.5785920925747349,5.400192864030859,3.857280617164899,3.857280617164899,1.0,48,122.58333333333333,611.0,30.0,114.45687347872483,11,31,0,0,0,4,2
