file,is_fortran,total_nodes,leaf_nodes,internal_nodes,max_depth,average_branching_factor,max_branching_factor,min_branching_factor,first_branching_factor,depth_per_nodes,internal_per_depth,state,log_length,log_word_count,avg_sent_len,sent_len_cv,hesitation_rate,correction_rate,confidence_rate,conf_hesit_ratio,backtrack_rate,forward_rate,fw_bt_ratio,question_rate,code_density,early_hesit,mid_hesit,late_hesit,hesit_trend,early_correct,late_correct,correct_trend,analysis_rate,exec_rate,plan_rate,verify_rate,strategy_entropy,lex_diversity,conclusion_strength,first_person_rate,paragraph_rate,success_words,failure_words,success_fail_ratio,total_segments,avg_segment_len,max_segment_len,min_segment_len,std_dev_len,code_analysis,mental_execution,test_generation,bug_fixing,language_mapping,high_level_plan,empty
./segment_tree/r1_java_fortran_2_segmented_reasoning/qid_atcoder_ABC150_E___atcoder_ABC124_C.json,1,206,78,128,31,1.6,6,1,1,0.1504854368932038,4.129032258064516,incorrect,10.61602060689591,8.725832056527565,11.648076923076925,1.1518660250699886,4.2214645234616,3.572008442929047,1.7860042214645235,0.4444444444444444,4.546192563727878,1.948368241597662,0.4482758620689655,0.2153846153846154,1.0066569248254589,6.747638326585696,4.331087584215592,1.075268817204301,-5.672369509381395,4.948268106162843,1.075268817204301,-3.8729992889585416,0.0173076923076923,0.0076923076923076,0.0019230769230769,0.0057692307692307,1.1410373801879123,0.0555284948855333,0,0.9092385127455757,5.033284624127293,1.1365481409319695,3.409644422795908,0.3636363636363636,205,193.6634146341463,1959.0,30.0,256.321946146869,93,21,3,5,5,73,5
./segment_tree/r1_java_fortran_2_segmented_reasoning/qid_codeforces_400_B___atcoder_ABC051_A.json,1,191,76,115,32,1.65,6,1,1,0.1675392670157068,3.59375,correct,10.303303400245593,8.447199819595703,9.615062761506277,0.7113146973885415,2.78910105127655,2.5745548165629693,1.072731173567904,0.4285714285714285,3.4327397554172925,3.4327397554172925,1.0,0.301255230125523,1.0298219266251878,3.073140749846343,3.1645569620253164,2.0604395604395607,-1.012701189406782,1.8438844499078055,2.7472527472527473,0.9033682973449416,0.00418410041841,0.00418410041841,0.0,0.002092050209205,1.043210580236531,0.0585711220768075,3,0.1930916112422227,5.706929843381249,0.8581849388543231,6.007294571980261,0.1724137931034483,190,152.74736842105264,841.0,33.0,149.19579610380694,95,28,4,5,3,44,11
./segment_tree/r1_java_fortran_2_segmented_reasoning/qid_atcoder_ABC158_B___codeforces_622_A.json,1,133,54,79,48,1.67,6,1,1,0.3609022556390977,1.6458333333333333,correct,10.61211430394446,8.639410824140487,12.070967741935483,0.8810366901217007,8.320056647194193,6.903876792352628,3.3634271552487167,0.4166666666666667,8.320056647194193,4.071517082669499,0.5,0.3075268817204301,2.141972030447867,11.872146118721462,9.366391184573002,2.430133657351154,-9.442012461370307,11.415525114155251,1.8226002430133657,-9.592924871141886,0.0236559139784946,0.0,0.0,0.0064516129032258,0.5325044268666815,0.047973092582758,10,0.0885112409275978,4.921224995574438,3.3634271552487167,8.320056647194193,0.4166666666666667,132,295.9166666666667,2174.0,35.0,351.36790578578035,63,34,0,8,1,20,6
./segment_tree/r1_java_fortran_2_segmented_reasoning/qid_codeforces_296_A___codeforces_8_B.json,1,164,62,102,30,1.6,6,1,1,0.1829268292682926,3.4,incorrect,10.533375393456884,8.682199026000504,13.207207207207206,0.8572712977223061,2.7137042062415193,2.2048846675712346,0.3392130257801899,0.1764705882352941,1.8656716417910448,1.8656716417910448,1.0,0.1936936936936936,1.6112618724559022,4.24929178470255,0.5224660397074191,3.218884120171674,-1.0304076645308764,3.305004721435316,2.682403433476394,-0.6226012879589216,0.0112612612612612,0.0112612612612612,0.0022522522522522,0.0,0.9335460803113296,0.0539348710990502,2,0.5936227951153324,4.630257801899593,0.3392130257801899,10.345997286295791,0.0483870967741935,163,225.83435582822085,2152.0,30.0,310.9808509805526,69,23,5,7,2,49,8
./segment_tree/r1_java_fortran_2_segmented_reasoning/qid_atcoder_AGC034_B___atcoder_ABC132_A.json,1,238,95,143,48,1.66,6,1,1,0.2016806722689075,2.9791666666666665,correct,10.835907506340154,8.942722330560143,11.582952815829527,0.7797784387241538,5.750882237615998,5.489478499542543,1.3070186903672725,0.2444444444444444,5.881584106652725,1.3070186903672725,0.2391304347826087,0.3698630136986301,1.0194745784864725,3.8109756097560976,9.11854103343465,4.171881518564873,0.3609059088087751,3.8109756097560976,3.7546933667083855,-0.0562822430477121,0.0106544901065449,0.0030441400304414,0.0,0.0015220700152207,0.8091044299472305,0.0500588158410665,2,0.9541236439681088,4.051757940138543,1.699124297477454,4.966671023395634,0.358974358974359,237,209.084388185654,1789.0,31.0,275.6697108110145,124,27,9,9,3,59,6
./segment_tree/r1_java_fortran_2_segmented_reasoning/qid_atcoder_AGC013_A___atcoder_ABC135_D.json,1,210,77,133,45,1.57,7,1,1,0.2142857142857142,2.9555555555555557,incorrect,10.939603677478631,9.097731427593528,11.762845849802371,0.9098918858150808,5.14886948735169,4.141481978956794,2.574434743675845,0.5106382978723404,5.9323931049921645,2.1267069621670025,0.3703703703703703,0.3517786561264822,1.4103425117528543,7.489514679448772,5.308560053085601,1.935733643050716,-5.553781036398055,5.092869982025165,2.3228803716608595,-2.769989610364305,0.0210803689064558,0.0079051383399209,0.0,0.0013175230566534,0.744147538232639,0.0394000447727781,13,1.8132975151108128,4.801880456682337,2.4625027982986345,2.4625027982986345,1.0,209,262.66985645933016,2321.0,30.0,346.26262973422365,102,38,2,5,2,57,3
./segment_tree/r1_java_fortran_2_segmented_reasoning/qid_codeforces_67_B___atcoder_ABC170_A.json,1,191,67,124,45,1.53,4,1,1,0.2356020942408377,2.7555555555555555,incorrect,10.394824499718256,8.618666160346871,11.072289156626503,0.6574249621227264,3.976143141153081,2.8917404662931503,0.5422013374299657,0.1739130434782608,4.518344478583047,4.337610699439725,0.9615384615384616,0.3514056224899598,1.1024760527742636,4.66321243523316,4.314994606256742,2.8555111364934325,-1.807701298739728,3.1088082901554404,1.7133066818960594,-1.395501608259381,0.0160642570281124,0.0281124497991967,0.0,0.002008032128514,0.8067303249806648,0.0605458160130128,3,0.0903668895716609,3.939996385324417,1.4458702331465751,7.410084944876197,0.2142857142857142,190,167.11052631578949,2905.0,31.0,237.9080863706992,90,29,6,0,3,59,3
./segment_tree/r1_java_fortran_2_segmented_reasoning/qid_codeforces_579_A___atcoder_ABC129_E.json,1,175,65,110,57,1.58,6,1,1,0.3257142857142857,1.9298245614035088,incorrect,10.739370510108031,8.948715833843691,14.35216572504708,0.8537758228996395,7.015720410549564,4.157463946992334,1.9488112251526568,0.2909090909090909,6.755878913862544,3.2480187085877614,0.490566037735849,0.3427495291902072,1.0523580615824348,8.100147275405009,8.145131432802666,4.385964912280701,-3.714182363124307,4.050073637702504,3.070175438596491,-0.979898199106013,0.0131826741996233,0.0056497175141242,0.0018832391713747,0.007532956685499,1.1987810030247896,0.0461218656619462,1,0.2338573470183188,4.885020137715993,2.3385734701831886,2.3385734701831886,1.0,174,262.28735632183907,2621.0,31.0,356.37479160786415,88,21,2,8,0,49,6
./segment_tree/r1_java_fortran_2_segmented_reasoning/qid_atcoder_AGC034_B___atcoder_ABC158_A.json,1,151,55,96,45,1.56,4,1,1,0.2980132450331126,2.1333333333333333,correct,10.365049399996163,8.490438454107418,11.70048309178744,0.9792807923316026,5.342099856174234,3.903842202588864,2.260119169919869,0.4444444444444444,5.1366344770906105,3.69837682350524,0.7307692307692307,0.1932367149758454,0.92459420587631,2.7548209366391188,7.795889440113395,6.0938452163315056,3.339024279692387,0.5509641873278236,4.875076173065205,4.324111985737381,0.0048309178743961,0.0144927536231884,0.0,0.0,0.5806418170110271,0.0657489213067598,8,1.5204438052188205,4.2120402712143,2.260119169919869,4.725703718923361,0.5,150,207.22666666666663,1992.0,31.0,295.44433938286596,69,25,3,7,3,42,1
./segment_tree/r1_java_fortran_2_segmented_reasoning/qid_codeforces_546_A___codeforces_49_A.json,1,115,37,78,33,1.46,3,1,1,0.2869565217391304,2.363636363636364,correct,9.989298208949238,8.197538739721184,10.46376811594203,0.7990117321793917,6.334343156155329,4.406499586890664,0.8262186725419994,0.1666666666666666,6.334343156155329,1.9278435692646656,0.3333333333333333,0.2057971014492753,0.6334343156155329,5.443234836702955,8.264462809917356,5.568814638027049,0.1255798013240934,3.1104199066874028,4.773269689737471,1.662849783050068,0.0057971014492753,0.0,0.0057971014492753,0.0115942028985507,1.0342172206038778,0.0710548058386119,0,0.1652437345083998,4.68190581107133,0.550812448361333,5.508124483613329,0.1428571428571428,114,188.64912280701753,909.0,30.0,171.1098070280328,64,18,2,7,2,17,4
